docid;title;text;features;category
14;DIY 5D Diamond Painting by Number Kit for Adult, Full Drill Crystal Rhinestone Embroidery Cross Stitch Diamond Embroidery Dotz Kit Home Wall Decor 15.8×11.8 Inch (Wolf);Product Description 5D DIY Diamond Painting is the new popular product Can be used in the Bedroom, Dinning Room, Bathroom, Washroom, Kitchen, Study, Home, Office Hotel, Restaurant and Bar,shining in the light , is currently most popular DIY decorations,Wealth and Good Fortune Diamond Painting Embroidery Home Decoration.very shining and bling.Make your house looks more pretty. DIY Diamond painting instruction steps 1.Take out the diamond painting kits 2.Please only need to lift a small part of the release paper, in order to avoid other regional sticky dust affect. 3.Find the corresponding diamond bag according to the numbers or letters, put the diamonds into the tray and shake. 4.Use the penpoint to adsorb the painting muds and diamond, press it to the canvas's corresponding position. 5.Press diamonds on the canvas with book or hand to make them more fixed. then 5d diamond paintings is done. Package Included 1 x Canvas 1 x set Resin Diamonds 1 x Diamond painting pen 1 x Diamond tray 1×Painting Muds SPECIFICATION Diamond Size: 0.1inch Diamond part: Full drill Pattern: Home Letter Cavas Size: 15.8×11.8 inch/ 40*30cm Pasting Area: Full Drill Diamond Shape: Round Use: Entertainment,Gifts,Decoration Note:Normally the diamonds is add 30%, if the diamonds is not enough,pls contact us we will send the diamonds for you Product Description 5D DIY Diamond Painting is the new popular product Can be used in the Bedroom, Dinning Room, Bathroom, Washroom, Kitchen, Study, Home, Office Hotel, Restaurant and Bar,shining in the light , is currently most popular DIY decorations,Wealth and Good Fortune Diamond Painting Embroidery Home Decoration.very shining and bling.Make your house looks more pretty. DIY Diamond painting instruction steps 1.Take out the diamond painting kits 2.Please only need to lift a small part of the release paper, in order to avoid other regional sticky dust affect. 3.Find the corresponding diamond bag according to the numbers or letters, put the diamonds into the tray and shake. 4.Use the penpoint to adsorb the painting muds and diamond, press it to the canvas's corresponding position. 5.Press diamonds on the canvas with book or hand to make them more fixed. then 5d diamond paintings is done. Package Included 1 x Canvas 1 x set Resin Diamonds 1 x Diamond painting pen 1 x Diamond tray 1×Painting Muds SPECIFICATION Diamond Size: 0.1inch Diamond part: Full drill Pattern: Home Letter Cavas Size: 15.8×11.8 inch/ 40*30cm Pasting Area: Full Drill Diamond Shape: Round Use: Entertainment,Gifts,Decoration Note:Normally the diamonds is add 30%, if the diamonds is not enough,pls contact us we will send the diamonds for you;"{""features"": {""Product Title"": ""DIY 5D Diamond Painting by Number Kit for Adult, Full Drill Crystal Rhinestone Embroidery Cross Stitch Diamond Embroidery Dotz Kit Home Wall Decor 15.8×11.8 Inch (Wolf)"", ""Package Included"": ""1 x Canvas 1 x set Resin Diamonds 1 x Diamond painting pen 1 x Diamond tray 1×Painting Muds"", ""Diamond Size"": ""0.1inch"", ""Diamond part"": ""Full drill"", ""Pattern"": ""Home Letter"", ""Cavas Size"": ""15.8×11.8 inch/ 40*30cm"", ""Pasting Area"": ""Full Drill"", ""Diamond Shape"": ""Round"", ""Use"": ""Entertainment,Gifts,Decoration""}}";Arts & Crafts
19;Under Armour Men's Micro G Pursuit-Wide Sneaker, 15;Product Description Lightweight, breathable mesh upper delivers increased ventilation with bonded taping at midfoot. TPU heel overlay for added durability. Enhanced cushioning around ankle collar for superior comfort. Full-length EVA sock liner for added comfort & a custom fit. Cushioned EVA midsole delivers a lightweight & responsive ride. Aggressive outsole traction pattern with slightly raised rubber knobs for added grip. Strategically placed rubber pods beneath the heel & forefoot for greater durability with less weight. Product Description Lightweight, breathable mesh upper delivers increased ventilation with bonded taping at midfoot. TPU heel overlay for added durability. Enhanced cushioning around ankle collar for superior comfort. Full-length EVA sock liner for added comfort & a custom fit. Cushioned EVA midsole delivers a lightweight & responsive ride. Aggressive outsole traction pattern with slightly raised rubber knobs for added grip. Strategically placed rubber pods beneath the heel & forefoot for greater durability with less weight.;"{""features"": {""Title"": ""Under Armour Men's Micro G Pursuit-Wide Sneaker, 15"", ""Description"": ""Lightweight, breathable mesh upper delivers increased ventilation with bonded taping at midfoot. TPU heel overlay for added durability. Enhanced cushioning around ankle collar for superior comfort. Full-length EVA sock liner for added comfort & a custom fit. Cushioned EVA midsole delivers a lightweight & responsive ride. Aggressive outsole traction pattern with slightly raised rubber knobs for added grip. Strategically placed rubber pods beneath the heel & forefoot for greater durability with less weight.""}}";Men's Fashion
21;Drake Feelings MyFaveGift Drizzy Champagne Papi If You're Reading This You're Too Close 11oz Coffee Mug Cup Gifts For Drake Lover;;"{""features"": {""product_title"": ""Drake Feelings MyFaveGift Drizzy Champagne Papi If You're Reading This You're Too Close 11oz Coffee Mug Cup Gifts For Drake Lover""}}";Home and Kitchen
22;Spider-Man: Homecoming Spider Sight Mask;Product Description Set your sights on suiting up like Spider-Man! With the Spider Sight mask, kids can pretend to be one of their favorite web-slinging, wall-crawling Super Heroes. This mask features moving eyes that are activated when the wearer opens their mouth. Each mask includes a flexible band to fit most kids and adults, and features a movie like appearance to Spider-Man Homecoming. Copyright 2016 Marvel. Hasbro and all related terms are trademarks of Hasbro. Product Description Set your sights on suiting up like Spider-Man! With the Spider Sight mask, kids can pretend to be one of their favorite web-slinging, wall-crawling Super Heroes. This mask features moving eyes that are activated when the wearer opens their mouth. Each mask includes a flexible band to fit most kids and adults, and features a movie like appearance to Spider-Man Homecoming. Copyright 2016 Marvel. Hasbro and all related terms are trademarks of Hasbro.From the manufacturer Copyright 2016 Marvel. Hasbro and all related terms are trad Hasbro is committed to being an ethical and responsible company and is a recognized toy industry leader in the areas of product safety, environmental sustainability, ethical sourcing and philanthropy. Spider-Man Homecoming Spider Sight Mask Imagine channeling Spider Senses like Spider-Man with the Spider Sight Mask! With the Spider Sight mask, kids can pretend to be one of their favorite web-slinging, wall-crawling Super Heroes. This mask features moving eyes that are activated when the wearer opens their mouth. Each mask includes a flexible band to fit most kids and adults, and features movie-inspired detail from Spider-Man: Homecoming. Spider Sight mask features movie-inspired detail from Spider-Man: Homecoming Wear mask and open mouth to make eyes move! Flexible band to fit most kid and adult head sizes Suit up like the web-slinging wall-crawler, Spider-Man Read more Suit up like Spider-Man! Suit up like Spider-Man with the Spider-Man Spider Sight Mask, inspired by the upcoming film, Spider-Man: Homecoming! Imagine swinging into battle like the web-slinger with a mask that features signature red, white, and black design. When the wearer moves their mouth while wearing the mask, Spider-Man’s eyes move! Includes flexible band to fit most kid and adult head sizes. Eyes move when wearer moves mouth The Spider-Man Spider Sight Mask features movable eyes that get set into motion when kids wear the mask and open their mouths! Kids can disguise themselves like the web-slinging wall-crawler, then open their mouths to make their eyes move up and down like Spidey’s! Spider-Man sets his sights on justice! Peter Parker uses his Spider Senses to detect danger and fight off the bad guys! Kids can disguise themselves like Peter Parker does when he suits up with the Spider-Man Spider Sight Mask! Now young heroes-in-training can imagine that they are the friendly neighborhood Spider-Man, swinging into action and saving the day! Read more Includes Includes mask and instructions. Read more ;"{""features"": {""name"": ""Spider-Man: Homecoming Spider Sight Mask"", ""description"": ""Set your sights on suiting up like Spider-Man! With the Spider Sight mask, kids can pretend to be one of their favorite web-slinging, wall-crawling Super Heroes. This mask features moving eyes that are activated when the wearer opens their mouth. Each mask includes a flexible band to fit most kids and adults, and features a movie like appearance to Spider-Man Homecoming."", ""copyright"": ""Copyright 2016 Marvel. Hasbro and all related terms are trademarks of Hasbro."", ""movement"": ""Moving eyes activated when wearer opens their mouth"", ""band"": ""Flexible band to fit most kids and adults"", ""appearance"": ""Movie-like appearance to Spider-Man Homecoming""}}";Toys and Games
23;Tee Luv ICEE Polar Bear Logo T-Shirt;"Product Description Read more Un-brrr-lieveably Good! With a delicious selection of flavors ranging from Blue Raspberry to Cherry and Lemonade - it's easy to see why ICEE has held the top spot as America's favorite frozen refreshment since 1967! To help our fellow nostalgic fans show off their love for the ""Coldest Drink in Town"", we've created a fun 90s inspired graphic tee featuring the instantly recognizable ICEE Polar Bear logo. To complete the retro look and feel on this ICEE shirt, we've distressed the graphic, and printed it on a soft poly-cotton light blue heather tee. Available in Adult Men's sizes: S, M, L, XL, XXL, and 3XL. Easily The Most Comfortable T-Shirt You'll Own Made from ultra soft poly-cotton, so it already feels like your favorite tee - right out of the box. Easy care, machine wash and dry. Don't worry about your new retro polar bear shirt fading, shrinking or losing its shape - Tee Luv graphic tees are designed to last. This vintage logo shirt also features a printed Tee Luv neck label for added comfort. Brought To You Exclusively By Tee Luv With licenses for America’s favorite brands, talented designers, and state-of-the-art operations, Tee Luv apparel provides great fitting and feeling t-shirts with designs or logos you can wear on your sleeve, pun intended. Order Your New Vintage ICEE Polar Bear Shirt Today! Tee Luv ICEE Polar Bear Logo T-Shirt Tee Luv Hawaiian ICEE Polar Bear T-Shirt Tee Luv Faded ICEE Logo Shirt Tee Luv ICEE Polar Bear Blue and Purple Tie Dye T-Shirt Tee Luv Men's Faded ICEE Polar Bear Chillaxin' Shirt Print Style Distressed Non-Distressed Distressed Non-Distressed Distressed Color Light Blue Heather Pool Blue Graphite Heather Blue and Purple Tie Dye Denim Heather Fabric 50% Cotton/50% Polyester 100% Cotton 50% Cotton/50% Polyester 100% Cotton 52% Cotton/48% Polyester Printed Tag ✓ ✓ ✓ ✓ ✓ Available Sizes Small to 3X-Large Small to 3X-Large Small to 3X-Large Small to 3X-Large Small to 3X-Large Read more ";"{""features"": {""title"": ""Tee Luv ICEE Polar Bear Logo T-Shirt"", ""description"": ""Un-brrr-lieveably Good! With a delicious selection of flavors ranging from Blue Raspberry to Cherry and Lemonade - it's easy to see why ICEE has held the top spot as America's favorite frozen refreshment since 1967! To help our fellow nostalgic fans show off their love for the \""Coldest Drink in Town\"", we've created a fun 90s inspired graphic tee featuring the instantly recognizable ICEE Polar Bear logo. To complete the retro look and feel on this ICEE shirt, we've distressed the graphic, and printed it on a soft poly-cotton light blue heather tee. Available in Adult Men's sizes: S, M, L, XL, XXL, and 3XL. Made from ultra soft poly-cotton, so it already feels like your favorite tee - right out of the box. Easy care, machine wash and dry. Don't worry about your new retro polar bear shirt fading, shrinking or losing its shape - Tee Luv graphic tees are designed to last. This vintage logo shirt also features a printed Tee Luv neck label for added comfort. Brought To You Exclusively By Tee Luv With licenses for America’s favorite brands, talented designers, and state-of-the-art operations, Tee Luv apparel provides great fitting and feeling t-shirts with designs or logos you can wear on your sleeve, pun intended. Order Your New Vintage ICEE Polar Bear Shirt Today! Tee Luv ICEE Polar Bear Logo T-Shirt Tee Luv Hawaiian ICEE Polar Bear T-Shirt Tee Luv Faded ICEE Logo Shirt Tee Luv ICEE Polar Bear Blue and Purple Tie Dye T-Shirt Tee Luv Men's Faded ICEE Polar Bear Chillaxin' Shirt Print Style Distressed Non-Distressed Distressed Non-Distressed Distressed Color Light Blue Heather Pool Blue Graphite Heather Blue and Purple Tie Dye Denim Heather Fabric 50% Cotton/50% Polyester 100% Cotton 50% Cotton/50% Polyester 100% Cotton 52% Cotton/48% Polyester Printed Tag ✓ ✓ ✓ ✓ ✓ Available Sizes Small to 3X-Large Small to 3X-Large Small to 3X-Large Small to 3X-Large Small to 3X-Large""}}";Men's Fashion
26;GADIEMKENSD Unisex Baseball Cap Breathable Sport Hat;"Product Description PROFESSIONAL HAT MANUFACTURER GADIEMKENSD has been focusing on the production of hats and peripheral products. With rich experience and advanced technology, the products are well sold in many countries around the world. Our company’s outdoor functional caps, running caps, sports caps, classic baseball caps, fashionable dad hats, sun hats, UV protection beach hats, etc. are well received by consumers. GADIEMKENSD has brand store in the United States, Canada,Britain, Germany, France, Italy, Spain, Japan and other countries. GADIEMKENSD UNSTRUCTURED UV PROTECTION OUTDOOR CAP Perfect for everyday use and hot weather, GADIEMKENSD outdoor hat is made of UV resistant fabric. Built in sweatband removes sweat from eyes and face. Two-side mesh vent keeps your head cool and comfortable. Material: 100% Nylon, UPF 50+ UV Protection (mesh vents Not rated) Overall Unstructured, Ventilation Design on Both Sides, Wicking Sweatband, Binding On Peak Two Sizes are Available M Size 6 7/8-7 1/4, 2.75"" Brim, 2.2oz (63g) L Size 7-7 1/2, 2.95"" Brim, 2.3oz (66g) Target Audience: Unisex Colors: Black, white, pink, blue, navy, gray, dark gray, red, khaki, army green, denim blue, etc. Hand wash only, shape it immediately and then air dry Read more UPF 50+ SUN PROTECTION Made of soft and durable nylon fabric which has passed UPF 50+ test (mesh vents not rated), UPF 50+ for ultimate sun protection, blocks 98%+ of damaging UVA/UVB sun rays BREATHABLE MESH DESIGN The two-side mesh design allows for moisture and heat to easily escape these caps, which not only keeps your noggin cool, but you’ll also stay dry QUICK-DRYING Light and soft quick drying fabric, even if the hat is wet with sweat or light rain, it will dry quickly. LIGHTWEIGHT LIGHTWEIGHT: About 2.3 ounces (66g). It's light and comfortable to wear all day (The weight of different colors and sizes will be slightly different) GADIEMKENSD outdoor cap is perfect for hiking, tennis and other outdoor activities, and is the perfect outdoors companion in warm weather. It has adjustable buckles to fit various head sizes Foldable Sun Hat Reflective Running Cap 2Pack Folding Cap Tripper Hat Cotton Baseball Cap Washed Canvas Cap Material Nylon Polyester Polyester Nylon+Spandex Cotton Cotton Head Circumference 6 7/8-7 3/8 6 5/8-7 1/2 6 3/4-7 1/2 6 3/4-7 1/2 6 7/8-7 3/4 6 3/4-7 1/2 Unstructural ✓ ✓ ✓ ✓ ✓ ✓ Product Features Foldable, Removable Reflective, Stretch, Quick dry Foldable, Quick dry Stretch Soft Soft ";"{""features"": [{""name"": ""Material"", ""value"": ""100% Nylon""}, {""name"": ""UPF Rating"", ""value"": ""50+""}, {""name"": ""Ventilation"", ""value"": ""Two-side mesh design""}, {""name"": ""Sweat Management"", ""value"": ""Built-in sweatband""}, {""name"": ""Sizes Available"", ""value"": ""M (6 7/8-7 1/4), L (7-7 1/2)""}, {""name"": ""Weight"", ""value"": ""2.3 ounces (66g)""}, {""name"": ""Colors"", ""value"": ""Black, white, pink, blue, navy, gray, dark gray, red, khaki, army green, denim blue, etc.""}, {""name"": ""Care Instructions"", ""value"": ""Hand wash only, shape and air dry immediately""}, {""name"": ""Additional Features"", ""value"": ""Foldable, adjustable buckles, suitable for outdoor activities""}]}";Sports and Outdoors
27;dbest products Trolley Dolly Red Foldable Shopping cart for Groceries with Wheels and Removable Bag and Rolling Personal Handtruck Standard;Product Description The Trolley Dolly is great to transport items around while on-the-go, downtown or the business. Large comfortable handle with rubberized grip reduces the shock when it is being pulled. Oversized, beefy wheels allow smooth rolling on any surface, even uneven paths. Removable shopping bag features seven compartments and pockets including a beverage holder. It is made of strong, weatherproof material. Remove the shopping bag, and the Trolley transforms into a Dolly for amazing weight capacity of 110 lb. The Trolley Dolly is the ideal solution to move a wide variety of items with ease. It folds in half the size of traditional trolleys for compact storage anywhere when not in use. The frame is made of durable aluminum. Product Description The Trolley Dolly is great to transport items around while on-the-go, downtown or the business. Large comfortable handle with rubberized grip reduces the shock when it is being pulled. Oversized, beefy wheels allow smooth rolling on any surface, even uneven paths. Removable shopping bag features seven compartments and pockets including a beverage holder. It is made of strong, weatherproof material. Remove the shopping bag, and the Trolley transforms into a Dolly for amazing weight capacity of 110 lb. The Trolley Dolly is the ideal solution to move a wide variety of items with ease. It folds in half the size of traditional trolleys for compact storage anywhere when not in use. The frame is made of durable aluminum.From the manufacturer Read more Read more Read more Read more Trolley Dolly Bigger Trolley Dolly Trolley Dolly With Seat Stair Climber Trolley Dolly Stair Climber Bigger Trolley Dolly Weight Capacity 110 lbs. 150 lbs. 110 lbs. 110 lbs. 150 lbs. Item Weight 5 lbs. 6 lbs. 8 lbs. 6 lbs. 7 lbs. Toe Plates (Inches) 9 x 13 inches 11 x 16 inches 9 x 13 inches 9 x 13 inches 11 x 16 inches Height (Inches) 38 inches 40 inches 44 inches 38 inches 44 inches Stair Climbing Weight Capacity 40 lbs. 60 lbs. Seat ✓ ;"{""features"": {""Title"": ""dbest products Trolley Dolly Red Foldable Shopping cart for Groceries with Wheels and Removable Bag and Rolling Personal Handtruck Standard"", ""Description"": ""The Trolley Dolly is great to transport items around while on-the-go, downtown or the business. Large comfortable handle with rubberized grip reduces the shock when it is being pulled. Oversized, beefy wheels allow smooth rolling on any surface, even uneven paths. Removable shopping bag features seven compartments and pockets including a beverage holder. It is made of strong, weatherproof material. Remove the shopping bag, and the Trolley transforms into a Dolly for amazing weight capacity of 110 lb. The Trolley Dolly is the ideal solution to move a wide variety of items with ease. It folds in half the size of traditional trolleys for compact storage anywhere when not in use. The frame is made of durable aluminum."", ""Weight Capacity"": ""110 lbs."", ""Item Weight"": ""5 lbs."", ""Toe Plates (Inches)"": ""9 x 13 inches"", ""Height (Inches)"": ""38 inches""}}";Luggage
29;Pure Daily Care Luma - 4 in 1 Skin Therapy Wand - Ion Therapy LED Light Machine - Wave Stimulation- Massage - Anti Aging - Lift & Firm Tighten Skin Wrinkles;"From the brand Pure Daily Care Professional Grade Skincare & Wellness Devices Previous page Pure Daily Care is a USA based brand that creates cutting-edge skincare & wellness devices. From skin-transforming technology to mood-enhancing aromatherapy, our advanced tools have helped over 1 million customers address concerns like wrinkles, breakouts, and stress with professional grade treatments at home. Pure Daily Care is the perfect gift for the Holiday season for yourself or a loved one! Skin Transforming Technology Innovative Treatments from LED Light Therapy to NuDerma High Frequency. Our Skin Devices Will Get You Fast, Affordable Results. Mood Enhancing Aromatherapy Transform Your Space into an Oasis with Top Quality Oil Diffusers and Pure Essential Oils. Shop Best Sellers Next page Product Description With Luma Wand, harness the power of 4 skin therapy modes for a curated wellness experience: · LED Photonic Light Therapy: red, blue and green light modes, to address aging, blemish, and pigmentation concerns · Bio-Wave Mode: Stimulate skin for a firmer and lifted appearance · Ionic Channeling: Clean+ mode to deep clean the skin by attracting oil, dirt and debris; Nutri- mode to apply serums and creams to deeper layers of the skin · Massage Mode: Stimulate facial muscles to promote microcirculation and lymphatic drainage What is LED light therapy, and why is it so beneficial? - LED light therapy is a non-invasive treatment where skin is exposed to one or more wavelengths (colors) of light. The light enters the skin’s layers to help improve the skin. - Different light colors penetrate the skin at different depths, addressing skin concerns that arise at various layers. Read more Red Light penetrates the deeper layers of the skin, where it helps stimulate the production of collagen, for a plumper and younger appearance Green Light penetrates the dermis, reducing the look of skin discoloration and an uneven complexion Blue Light penetrates the uppermost layers of the skin, targeting the root cause of blemishes and breakouts, and addressing inflammation Read more Combine modalities to tailor your skin care regimen: Anti-aging combination: - Bio-wave - Nutri- - Massage - Photon red light - 10 minutes Cleansing combination: - Bio-wave - Clean- - Photon green light - 15 minutes Blemish-Inflammation combination: - Photon blue light - 8 minutes Read more ";"{""features"": [{""feature"": ""4 in 1 Skin Therapy Wand""},{""feature"": ""Ion Therapy LED Light Machine""},{""feature"": ""Wave Stimulation""},{""feature"": ""Massage""},{""feature"": ""Anti Aging""},{""feature"": ""Lift & Firm Tighten Skin Wrinkles""}]}";Beauty and personal care
31;Engraved Desk Name Plate for Home Office - Beautiful Custom Desk Name Plate for Business Professional & Office Staff;Product Description Our Polished Finish Desk Wedge a is stylish, memorable way to introduce yourself to visitors. Our custom rosewood desk wedges also make a practical, yet sophisticated gift for any office professional or manager. Product Description Our Polished Finish Desk Wedge a is stylish, memorable way to introduce yourself to visitors. Our custom rosewood desk wedges also make a practical, yet sophisticated gift for any office professional or manager.;"{""features"": [""Engraved Desk Name Plate"", ""Polished Finish"", ""Custom rosewood desk wedges"", ""Stylish design"", ""Memorable way to introduce yourself"", ""Practical and sophisticated gift""]}";Office and Stationery
32;H2H Mens Casual Slim Fit Turtleneck Pullover Knit Lightweight Sweaters Shirts;From the brand Previous page H2H Lightweight Sweater List H2H Pullover Sweater List H2H Cardigan Sweater List H2H Crew neck Sweater List H2H Turtleneck Sweater List Next page Product Description H2H is a Korean brand designed for men and women offering slim fit style with highest qualities. We bring customers to a different outlook on life of fashion. ** Other Note : 1. Please refer to the size chart listed below. 2. Colors may be slightly different from on screen display and in person. Fabric Detail - Heather Color KMTTL028 / KMTTL0412 / CMOSWL072 All the styles on this page are made of the same fabric POLYESTER95% SPANDEX5% Since all styles made of two different colors of yarn, not one color but two colors are mixed in the clothes. These fabric has excellent warmth and elasticity. It is suitable for spring, fall, and winter and is soft. Read more Casual Slim Fit Pullover Sweaters - HEATHER Color and LIGHTWEIGHT Pullover Thermal Sweaters. Model Height - 73.2 inch / Weight - 169.8 lb / Model Outfit Size - US L It is a pullover sweater with a variety of colors and light and basic designs, suitable for casual daily wear. It is good for layering such as shirts and outerwear, and can create various styles. Mock neck style slightly covers the neck, giving a different feeling from turtleneck. It is good for layering such as shirts and outerwear, and can create various styles. CMOSWL045 CMOSWL068 CMOSWL073 CMOSWL076 CMOSWL087 CMTTL099 Weight Heavy A Little Heavy A Little Heavy Heavy Lightweight Lightweight Feature Twisted Patterned Solid Patterned Solid Patterned and shirring Neckline Unique Twisted Patterned Rib Knitted Fabric Pointed Patch on shoulder and spandex blended ;"{""features"": {""title"": ""H2H Mens Casual Slim Fit Turtleneck Pullover Knit Lightweight Sweaters Shirts"", ""description"": ""H2H is a Korean brand designed for men and women offering slim fit style with highest qualities. We bring customers to a different outlook on life of fashion. ** Other Note : 1. Please refer to the size chart listed below. 2. Colors may be slightly different from on screen display and in person. Fabric Detail - Heather Color KMTTL028 / KMTTL0412 / CMOSWL072 All the styles on this page are made of the same fabric POLYESTER95% SPANDEX5% Since all styles made of two different colors of yarn, not one color but two colors are mixed in the clothes. These fabric has excellent warmth and elasticity. It is suitable for spring, fall, and winter and is soft. Read more Casual Slim Fit Pullover Sweaters - HEATHER Color and LIGHTWEIGHT Pullover Thermal Sweaters. Model Height - 73.2 inch / Weight - 169.8 lb / Model Outfit Size - US L It is a pullover sweater with a variety of colors and light and basic designs, suitable for casual daily wear. It is good for layering such as shirts and outerwear, and can create various styles. Mock neck style slightly covers the neck, giving a different feeling from turtleneck. It is good for layering such as shirts and outerwear, and can create various styles. CMOSWL045 CMOSWL068 CMOSWL073 CMOSWL076 CMOSWL087 CMTTL099 Weight Heavy A Little Heavy A Little Heavy Heavy Lightweight Lightweight Feature Twisted Patterned Solid Patterned Solid Patterned and shirring Neckline Unique Twisted Patterned Rib Knitted Fabric Pointed Patch on shoulder and spandex blended""}}";Men's Fashion
